Category,No.,Name,City,Country,Continent,Lat,Long,Wall,Adj Lat,Y,,Adj Long,,X coordinate,From corner,Image,Fact
,,Kilimanjaro,,Tanzania,Africa,-3.067425,37.355627,South,-1.699404432,69.04284566,40,2.644373,6.25,3.462177461,,,
C,1,Kilimanjaro,,Tanzania,Africa,-3.067688,37.355637,South,-1.699550139,69.04267775,40,2.644363,6.25,3.462164349,,,
,,,Moscow,Russia,,55.755826,37.6173,South,30.88965429,110.4595102,40,2.3827,6.25,3.119162302,,,
C,1,St Basil Cathedral,Moscow,Russia,Europe / Asia,55.752456,37.622937,South,30.88778726,110.4565923,40,2.377063,6.25,3.111774502,,,
C,2,Mecca,,Saudi Arabia,Asia,21.388833,39.858054,South,11.84976898,84.84073664,40,0.141946,6.25,0.1857130629,,,
,,Mount Elbrus,,Russia,Asia,43.349938,42.44533,South,24.01658615,100.3911814,40,2.44533,6.25,3.201248709,,,
,,,Yerevan,Armenia,,40.179186,44.499103,South,22.25993684,97.99950024,40,4.499103,6.25,5.898442464,,,
,,,Riyadh,Saudi Arabia,,24.713552,46.675296,South,13.69171856,87.07048976,40,6.675296,6.25,8.773202639,,,
,,,Tehran,Iran,,35.689197,51.388974,South,19.77240831,94.71252752,40,11.388974,6.25,15.09976919,,,
,,,Abu Dhabi,UAE,,24.453884,54.377344,South,13.54785817,86.89514525,40,14.377344,6.25,19.21495106,,,
C,1,The Burj,Dubai,United Arab Emirates,Asia,25.141228,55.185294,South,13.92865817,87.35975269,40,15.185294,6.25,20.34556033,,,
C,2,Taj Mahal,Agra,India,Asia,27.174767,78.041737,South,15.05527258,88.74347742,40,38.041737,6.25,58.64376457,,,
,,,Kathmandu,Nepal,,27.717245,85.32396,East,15.3558144,89.11503731,130,44.67604,5.5,65.20626254,,,
,,Everest,,Nepal,Asia,27.98785,86.925026,East,15.50573407,89.30078177,130,43.074974,5.5,61.66053059,,,
,,,Singapore,Singapore,,1.352083,103.819836,East,0.7490764543,71.86248578,130,26.180164,5.5,32.42866757,,,
C,#REF!,Angkor Wat,,Cambodia,Asia,13.411981,103.86717,East,7.430460388,79.60317259,130,26.13283,5.5,32.36104115,,,
,,,Hanoi,Vietnam,,21.027764,105.83416,East,11.64973075,84.60047233,130,24.16584,5.5,29.59733977,,,
,,,Ulaanbaatar,Mongolia,,47.886399,106.905744,East,26.52986094,103.9299935,130,23.094256,5.5,28.12762829,,,
